,message,positive,negative,neutral
160,this is great explanation of the seemingly magic of apple new hardware by the is not cpu it is whole system of multiple chips put into one large silicon package the cpu is just one of these chips,0,1,0
161,haha waiting on the second wave of apple silicon mbp,0,1,0
162,soon you won need the system linker hack to build your compiler on apple silicon after clean it up and get it merged upstream how does everyone feel about me fixing stage cross compilation to any macho target hint yes this includes apple silicon,0,1,0
163,was originally going to wait to get one and part of me still does wish waited but am going to wait for st gen or nd gen mbp running applesilicon nevertheless they look amazing and so far the reviews seem very positive smiling face with heart eyes,0,1,0
164,this video by is by far the best layperson description of the architecture ve seen to date wrong about mac speed apple silicon explained btw calling the new mac mini the mac mni because why not,0,1,0
165,have the magsafe the apple silicon case and the mini,0,1,0
166,what caught our eye in the digital economy intel semiconductor software hardware xeon intelcore pentium celeron intelatom iot cloudcomputing intelgaming amd qualcomm applesilicon cpu investment technology stocksmarket technolovers digitaleconomy,0,1,0
167,cyber monday ebook sale experience the journey back to the land in silicon valley for only for kindle nook kobo apple books and from smashwords books ebooks kindle siliconvalley homesteading memoirs,0,1,0
168,today on the it seems like you can listen to much of anything technology related without hearing someone talk about how applesilicon is the end of intel or windows not sure the people saying that are thinking outside their bubbles,0,1,0
169,apple silicon is the move for most creatives it would appear,0,1,0
170,the best editing console for the mac loupedeck ct review watch and blue heartit here mmac applesilicon apple,0,1,0
171,free for amazon usa reviewers and testers hourglass donedm to grabparty popper amazon amazonprime amazonspecials free giveaway testers tester reviewer review freebies amazonreview feedback usreviewers freebies giveawayalert deals gift amazonspinandwin applesilicon,0,1,0
172,the compute is just insane on the new macbook air and pro the transition to apple silicon is classically apple building the whole widget near perfect integration between hardware software and services by,0,1,0
173,any hope for ipad port of the game with how powerful the new apple chips in the new ipads are what about being developed for the new apple silicon chips,0,1,0
174,anyone know if the gb model would be good for gamedev with unityd apple gamedev unityd gamedevelopment applesilicon applem,0,1,0
175,the real hipsters are running windows on apple silicon,0,1,0
176,if you want to support linux on apple green apple silicon vote with your wallet,0,1,0
177,is apple silicon ready thumbs up cc,0,1,0
178,definitely will make holding off for an apple silicon laptop bit easier,0,1,0
179,video camera wrong about mac speed apple silicon explained,0,1,0
180,so excited to finally receive my new macbook pro it the world fastest compact pro laptop with apple core cpu macbookpro apple applem mchip applesilicon,0,1,0
181,macbook pros apple silicon gb on sale for at amp save,0,1,0
182,apple silicon macs still to come redesigned imac new macbook pro and more,0,1,0
183,loom is disaster on apple silicon macs eats ram crashes constantly unresponsive,0,1,0
184,if this ever gets developed legitimately consider buying an apple silicon laptop in the future,0,1,0
185,rt we figured the apple silicon move would bring performance benefits we didn expect it all to go quite this smoothly right out of the gate macmini,0,1,0
186,will microsoft office run on apple silicon chips surprising results,0,1,0
187,won be buying an apple silicon mac myself but as long as they exist this seems like an important project to support,0,1,0
188,apple applesilicon righttorepair they care about your privacy so much that the data they collect about you is sent to third party unencrypted but independent repair shops are bad kay,0,1,0
189,this week top stories more apple silicon tidbits apple watch redesign rumors ios more,0,1,0
190,isn that because there no apple silicon version of net yet and it runs through an emulator,0,1,0
191,megadeath have you recently seen how silicon chip has owned almost all the desktop chips available in terms of performance per watt well and obviously gpu performance exceeds anything ever available so far when it comes to integrated graphics so apple is game now,0,1,0
192,taps mic should buy blackmagic slap some apple silicon in there write some unbeatable ml for focus tracking and in body post deeply integrate with ios take over the tech side of film in five years how about it carry on,0,1,0
193,ps one funny thing noticed in the apple silicon video somehow appeared in guess one can never be too careful with rights and clearances to this poor guy,0,1,0
194,opening fcpx and dropping some high res bit clips with one lut works fine and might be enough for youtube hype clip but just is not the real life grinning face with sweatzany facewinking face applesilicon macminim,0,1,0
195,st day with the new macmini gb is bit disillusioning but it was mostly installing all my apps and tools and plugins and some smaller issues applesilicon macminim applesiliconm,0,1,0
196,linux shocked to discover that apple is for profit business linux apple applesilicon,0,1,0
197,did you mean to say apple arm silicon,0,1,0
198,google drive file stream doesn yet work on apple silicon processor,0,1,0
199,completely agree but perhaps we are discounting the amount of time the team has been putting into getting macos running on apple silicon for the and beyond,0,1,0
200,if you re interested in linux on apple silicon back this marcan is pretty much the best possible choice for person to do this kind of port,0,1,0
201,thumbs up on wrong about mac speed apple silicon explained,0,1,0
202,fascinating look at the economics of silicon,0,1,0
203,bsg the macbook pro with is in word astonishing jack wallen dove into the apple silicon waters and found them exhilarating read about his experience after purchasing new macbook pro with the chip,0,1,0
204,for years with help of screenresx users like me was able to run xhidpi on macbook pro now with applesilicon you stop this freedom and destroy whole experience very very sad,0,1,0
205,my and buttons on my keyboard are about to fall off with all of these apple silicon articles,0,1,0
206,errorprovider plugin control for the new xojo is out adding apple silicon support more info at,0,1,0
207,macbook cybermonday sales off macbook pros off intel macbook pros off macbook airs and pros apple macbook macbookpro macbooksale applesilicon applem we have em all gt,0,1,0
208,hope this helps few people with their buying decision if you re thinking of buying mac or macbook then this could come in handy macbook applesilicon mmac mmacbook macbookpro macbookair,0,1,0
209,does it arm apps that are reported to support apple silicon,0,1,0
210,apple is now brand of silicon to compete in phones companies need their own silicon or risk being marginalized to low price,0,1,0
211,little slow because of some programs that are not optimized for apple silicon,0,1,0
212,with the little touches you make on macbook pro you can work in more ergonomic way without getting stuck with the damn intel graphics memory crash cook apple applesilicon macos macosbigsur,0,1,0
213,that good to hear more of pc person and ve been running hackintosh for some time but with pending upgrade to ryzen and now apple silicon know that hackintosh experience will end soon and need new way to use final cut lol,0,1,0
214,is apple silicon ready the complete guide for macos apps optimized for apple silicon macbooks,0,1,0
215,apple google aws spend more on silicon than intel why because moore law is failing and in world where demand for artificalintelligence and compute continues to grow this is where the competitive advantage and barriers to entry are,0,1,0
216,lots of interesting tidbits here including workaround for homebrew on apple silicon apparently if you force it to arch everything just works rosetta,0,1,0
217,apple will always be obscure wish they would provide deep dive on the silicon but they don have to they sell whole devices not chips if anything it probably better for them to obfuscate how the performance is achieved to prevent headaches like the megahertz myth grimacing face,0,1,0
218,when is apple silicon expected to make it to the inch mbps,0,1,0
219,hear how billie shepard used her years as an actor to help silicon valley execs facebook uber google with presentation public speaking skills listen where you find podcasts apple podcasts,0,1,0
220,can think of anyone better than to be taking on project like porting linux to apple silicon macs,0,1,0
221,minutes apple silicon long game changing the game,0,1,0
222,cities inevitably change sf used to have larger population than la silicon valley wasn always silicon valley it was mostly apple orchards the better but harder story really is where does city go next,0,1,0
223,help make linux on apple silicon macs reality patreon is up pausing billing until get mo of commitment so you won be charged until there is enough momentum to make the project viable,0,1,0
224,the new applem is so damn fast at some things today hit command delete to delete some items and then spent minute trying to figure out why delete didn work it did work it was just so fast didn think it did mchip applesilicon,0,1,0
225,next release might already support apple silicon natively the latest exploration version using electron works great oncoming fist light skin tone vscode applesilicon,0,1,0
226,news that msft is checking out ways to allow android apps to run on windows this would be interesting since msft partnered with alphabet to develop the os for their dual screen surface phablet also interesting with apple silicon promising ios apps working on macos,0,1,0
227,the new macbook air uses apple own processor marking the shift away from intel processors and exclusively to apple own silicon that uses the arm instruction set but what is the real world performance like let find out,0,1,0
228,the big news in today key codes usher beta and moom updates is this they are now universal apps there are some other changes in these apps but native support for apple silicon is the big news,0,1,0
229,apple silicon based chip macbooks are now analogies use in my teaching conversations should really stop but it stuck in my brain something can be the best thing ever but if you have to build it yourself would you what does that mean for teaching,0,1,0
230,jack wallen dove into the silicon waters and found them exhilarating read about his experience after purchasing new macbook pro with the chip,0,1,0
231,techrepublic the macbook pro with is in word astonishing jack wallen dove into the apple silicon waters and found them exhilarating read about his experience after purchasing new macbook pro with the chip,0,1,0
232,matsuura sorry for the delay finally got the latest blog post up on tg pro apple silicon hopefully that helps bit pls pm me for full size screenshots if needed and thanks for offering to help people learn about our indie app,0,1,0
233,just quick heads up that tg pro now has full support for the apple silicon macs update in app by clicking the menubar icon gt more gt check for updates we hope you enjoy it,0,1,0
234,jack wallen dove into the apple silicon waters and found them exhilarating read about his experience after purchasing new macbook pro with the chip,0,1,0
235,apple silicon is real,0,1,0
236,hurry up and make apple silicon,0,1,0
237,would you be willing to fund linux port to apple silicon macs,0,1,0
238,the real good reason for apple to move macbook production to its own silicon this graph from maps specint benchmark performance per core for apple and intel chips apple had no choice in that power envelope,0,1,0
239,hi larry our developers are planning on releasing an update for lastpass for big sur and to natively support apple silicon although we don have any specific dates or an eta to share just yet ro,0,1,0
240,so who gonna make the competitor to apple silicon please not intel,0,1,0
241,apple silicon macs may support external gpus in the future egjptranslate,0,1,0
242,read my nov newsletter featuring apple maniacal focus on silicon comes to the mac,0,1,0
243,also had to roll back the nightly build of iterm to run it natively on applesilicon as the new nightly is requiring rosetta,0,1,0
244,am willing to bet that apple is prioritizing apple silicon affecting bugs and features over verytgibg else in other words they are not prioritizing on an annual release but on the whole transition and have been doing so for the last years,0,1,0
245,well there is definitely one app that is crashing lot on the apple silicon onedrive ve had about crashes so far,0,1,0
246,the silicon processor is finally here and it freezes more than windows is there anything you all don screw up at this point apple macbook,0,1,0
247,the complete guide for macos apps optimized for apple silicon macbooks clapping hands,0,1,0
248,on applesilicon you can check what architecture your app process is running on by looking in the activity monitor macbookprom,0,1,0
249,interesting quite likely apple silicon doesn really save the company money it really is about the experience,0,1,0
250,alexgraf this is genesis of reverse hackintosh where windows runs on apple silicon hoping this picks up and customers win macrosoft mindows beaming face with smiling eyes,0,1,0
251,this is not good enough response when is amazon going to release an updated version of its app to support apple silicon ie the big sur os on macbooks,0,1,0
252,sony had no problem trying to destroy the market share of those using the ps for linux apple could easily lock their silicon at any time like an ipad and upsell the intel mac pro for those with custom needs while forcing most to the app store walled gardens are what they do,0,1,0
253,borderlands in on apple silicon yes yes it playable,1,0,0
254,mac mini vs mac pro interesting review of pros and cons an applesilicon based macpro is going to be monster,1,0,0
255,and can only imagine what the apple silicon for the macbook pro or imac will be capable of,1,0,0
256,to repeat something said at the debut if apple silicon continues to offer this level of performance and the hardware is exclusive to mac the pc market particularly pc laptops is in for some very hard times,1,0,0
257,is not the problem pixel size is the problem also intel is the problem apple can put tiny bump in the back of the lid to fit bigger sensor once all macs have apple silicon that will be the way,1,0,0
258,recommended read apple silicon developer perspective devopsish,1,0,0
259,imagining the possibilities with apple silicon what other features could apple silicon enable on apple computers own shares of apple,1,0,0
260,cardhop with apple silicon native coming,1,0,0
261,interesting blog post on the new apple silicon macs,1,0,0
262,before you jump like crazy on new mac chip good page to visit so is photoshop working fine crazy how mac is all about design then they don wait for the most used graphic apps on their platform to natively adjust applem applesilicon macmini,1,0,0
263,apple macbook air has that apple silicon magic,1,0,0
264,docker on apple silicon and sqlite as document database backhand index pointing right please retweet if you like my blog thanks thumbs up,1,0,0
265,but lot of android devices have core chips inside them what up with the iphone chips you will often find that the battery is bigger there too also the performance increase is well not thing the apple silicon chips for iphone are still unrivalled,1,0,0
266,in english it would drain your battery real quick so it not an apples to apples comparison or well actually it is but maybe not silicon to silicon,1,0,0
267,hey there fabio we are not yet compatible with apple silicon however we are aiming for compatibility by new years please note it could be early mid january at the latest for full compatibility we appreciate your patience and understanding in the meantime,1,0,0
268,if you re fortnite fan you ll love playing it on the new mac mini video gamejoysticksmiling face with heart eyes via gaming games gameplay fps fps twitch mmac mmacmini macminim macmini applesilicon applesiliconm applem macbookairm macbookprom mchip,1,0,0
269,want to see someone run gentoo in virtualization on apple silicon,1,0,0
270,apple silicon the next gen mx what else will boast cpu cores the tock will be about energising tsmc nm process with additional heavy lifting capability ies,1,0,0
271,selling my iphone blue gb with apple silicon case only issue is small ding on the bottom that also affected the case not sure how it happened but phone is perfect otherwise glass screen protector intact shipped with insurance signature paypal amp,1,0,0
272,apple silicon developer perspective steipete blog,1,0,0
273,need some simple modeling software for osx ideally native apple silicon for creating simple programmer art fbx import export do,1,0,0
274,where to buy the new macbook pro with chip the macbook pro with apple new chip is now on sale and you can already find top discount here where to buy the silicon macbook pro,1,0,0
275,apple benchmarks and microsoft pluton processor don forget to check out the latest stc apple applesilicon applem microsoft pluton,1,0,0
276,apple use of aws and gc is not uncommon apple behaviour they like to outsource anything that really can make difference in the user experience manufacturing cloud and all those backend stuff it even until recently that they ventured into silicon chips designing,1,0,0
277,apple silicon developer perspective,1,0,0
278,being able to run tvos apps on apple silicon macs would be killer it sure would make the new mac mini worthwhile media center computer,1,0,0
279,fyi the apple silicon pr was not backported to branch so it not in,1,0,0
280,thomp what are cats going to do with apple silicon that doesn get as hot face with tears of joy,1,0,0
281,and now all of this is basically obsolete with apple silicon the support for those new processors will be infinitely better baseline performance several times better and prices might be even lower despite all the improvements,1,0,0
282,borderlands in on apple silicon yes yes it playable,1,0,0
283,mac mini vs mac pro interesting review of pros and cons an applesilicon based macpro is going to be monster,1,0,0
284,and can only imagine what the apple silicon for the macbook pro or imac will be capable of,1,0,0
285,to repeat something said at the debut if apple silicon continues to offer this level of performance and the hardware is exclusive to mac the pc market particularly pc laptops is in for some very hard times,1,0,0
286,is not the problem pixel size is the problem also intel is the problem apple can put tiny bump in the back of the lid to fit bigger sensor once all macs have apple silicon that will be the way,0,1,0
287,recommended read apple silicon developer perspective devopsish,1,0,0
288,imagining the possibilities with apple silicon what other features could apple silicon enable on apple computers own shares of apple,1,0,0
289,cardhop with apple silicon native coming,0,0,1
290,interesting blog post on the new apple silicon macs,0,0,1
291,before you jump like crazy on new mac chip good page to visit so is photoshop working fine crazy how mac is all about design then they don wait for the most used graphic apps on their platform to natively adjust applem applesilicon macmini,0,1,0
292,apple macbook air has that apple silicon magic,1,0,0
293,docker on apple silicon and sqlite as document database backhand index pointing right please retweet if you like my blog thanks thumbs up,1,0,0
294,but lot of android devices have core chips inside them what up with the iphone chips you will often find that the battery is bigger there too also the performance increase is well not thing the apple silicon chips for iphone are still unrivalled,1,0,0
295,in english it would drain your battery real quick so it not an apples to apples comparison or well actually it is but maybe not silicon to silicon,1,0,0
296,hey there fabio we are not yet compatible with apple silicon however we are aiming for compatibility by new years please note it could be early mid january at the latest for full compatibility we appreciate your patience and understanding in the meantime,1,0,0
297,if you re fortnite fan you ll love playing it on the new mac mini video gamejoysticksmiling face with heart eyes via gaming games gameplay fps fps twitch mmac mmacmini macminim macmini applesilicon applesiliconm applem macbookairm macbookprom mchip,1,0,0
298,want to see someone run gentoo in virtualization on apple silicon,0,0,1
299,apple silicon the next gen mx what else will boast cpu cores the tock will be about energising tsmc nm process with additional heavy lifting capability ies,0,0,1
300,selling my iphone blue gb with apple silicon case only issue is small ding on the bottom that also affected the case not sure how it happened but phone is perfect otherwise glass screen protector intact shipped with insurance signature paypal amp,0,0,1
301,apple silicon developer perspective steipete blog,0,1,0
302,need some simple modeling software for osx ideally native apple silicon for creating simple programmer art fbx import export do,0,0,1
303,where to buy the new macbook pro with chip the macbook pro with apple new chip is now on sale and you can already find top discount here where to buy the silicon macbook pro,0,0,1
304,apple benchmarks and microsoft pluton processor don forget to check out the latest stc apple applesilicon applem microsoft pluton,0,0,1
305,borderlands in on apple silicon yes yes it playable,1,0,0
306,mac mini vs mac pro interesting review of pros and cons an applesilicon based macpro is going to be monster,1,0,0
307,and can only imagine what the apple silicon for the macbook pro or imac will be capable of,1,0,0
